Side/Radius,,rms_regular,rms_sin
1.333333333,,0.027644822,0.028134623
1.5,,0.011681571,0.027757455
1.666666667,,0.001752105,0.028777627
1.833333333,,0.024604133,0.062595753
2,,0.09226273,0.118734667
2.166666667,,0.20584785,0.209167728
2.333333333,,0.357825601,0.356173362
2.5,,0.542173169,0.566228481
2.666666667,,0.75165121,0.836088446
2.833333333,,0.982652664,1.156823368
3,,1.23288526,1.522315754
3.166666667,,1.496330725,1.927119651
3.333333333,,1.770017891,2.364560595
3.5,,2.059222866,2.831815028
3.666666667,,2.359460785,3.322732926
3.833333333,,2.669644909,3.835195517
